objectid,title,format,filename,Library Branch,Location,Shelf Location,Bin Location,Material,Manufacturer (if known),Quantity
mac3d1,Yarn  White,three dimensional object,,MAC,Children's Workroom,A1,YARN,ACRYLIC,COLORATIONS,250 YARDS
mac3d2,Yarn Colors,three dimensional object,,MAC,Children's Workroom,A1,YARN,ACRYLIC,COLORATIONS,120 YARDS PER SKEIN
mac3d3,Pom Poms Assorted Sizes and Colors,three dimensional object,,MAC,Children's Workroom,A1,POM POMS,ACRYLIC,COLORATIONS,550 COUNT
mac3d4,Pom Poms Small Black,three dimensional object,,MAC,Children's Workroom,A1,POM POMS,ACRYLIC,CRAFTER'S SQUARE,100 COUNT
mac3d5,Pom Poms Small Assorted Colors,three dimensional object,,MAC,Children's Workroom,A1,POM POMS,ACRYLIC,UNKNOWN,200 COUNT
mac3d6,Cotton Balls,three dimensional object,,MAC,Children's Workroom,A1,POM POMS,COTTON,PACON,400 COUNT
mac3d7,Coffee Filters,three dimensional object,,MAC,Children's Workroom,B2,na,PAPER,UNKNOWN,600 COUNT
mac3d8,Paper Cones,three dimensional object,,MAC,Children's Workroom,B2,na,PAPER,BARE SOLO,200 COUNT
mac3d9,Canvas Panel 4in Square,three dimensional object,,MAC,Children's Workroom,A2,na,CANVAS OVER BOARD,MONT MARTE,11 COUNT
mac3d10,Canvas Panel 5inx7in Rectangle,three dimensional object,,MAC,Children's Workroom,A2,na,CANVAS OVER BOARD,U.S. ART SUPPLY,31 COUNT
mac3d11,Glass Pebbles 1in,three dimensional object,,MAC,Children's Workroom,A2,na,GLASS,UNKNOWN,50 COUNT
mac3d12,Glass Pebbles 2in,three dimensional object,,MAC,Children's Workroom,A2,na,GLASS,UNKNOWN,75 COUNT
mac3d13,Beads Natural Wooden,three dimensional object,,MAC,Children's Workroom,A2,BEADS,WOOD,UNKNOWN,50 COUNT
mac3d14,Beads Opaque Green Pony Beads,three dimensional object,,MAC,Children's Workroom,A2,BEADS,PLASTIC,UNKNOWN,1500 COUNT
mac3d15,Beads Opaque White Pony Beads,three dimensional object,,MAC,Children's Workroom,A2,BEADS,PLASTIC,WESTRIM CRAFTS,500 COUNT
mac3d16,Beads Opaque Black Pony Beads,three dimensional object,,MAC,Children's Workroom,A2,BEADS,PLASTIC,UNKNOWN,500 COUNT
mac3d17,Beads Opaque Yellow Pony Beads,three dimensional object,,MAC,Children's Workroom,A2,BEADS,PLASTIC,UNKNOWN,1000 COUNT
mac3d18,Beads Opaque Red Pony Beads,three dimensional object,,MAC,Children's Workroom,A2,BEADS,PLASTIC,UNKNOWN,1500 COUNT
mac3d19,Beads Opaque Orange Pony Beads,three dimensional object,,MAC,Children's Workroom,A2,BEADS,PLASTIC,WESTRIM CRAFTS,500 COUNT
mac3d20,Beads- Fancy Assorted Pony Beads,three dimensional object,,MAC,Children's Workroom,A2,BEADS,PLASTIC,UNKNOWN,500 COUNT