objectid,title,format,filename,branch,location,shelf,bin,material,manufacturer,quantity
mac3d1,Yarn  White,three dimensional object,yarn_white.jpeg,MAC,J Workroom,A1,YARN,ACRYLIC,COLORATIONS,250 YARDS
mac3d2,Yarn Colors,three dimensional object,yarn_assorted_colors.jpeg,MAC,J Workroom,A1,YARN,ACRYLIC,COLORATIONS,120 YARDS PER SKEIN
mac3d3,Pom Poms Assorted Sizes and Colors,three dimensional object,pompoms_assorted_sizes_colors.jpeg,MAC,J Workroom,A1,POM POMS,ACRYLIC,COLORATIONS,550 COUNT
mac3d4,Pom Poms Small Black,three dimensional object,pompoms_small_black.jpeg,MAC,J Workroom,A1,POM POMS,ACRYLIC,CRAFTER'S SQUARE,100 COUNT
mac3d5,Pom Poms Small Assorted Colors,three dimensional object,pompoms_small_assorted_colors.jpeg,MAC,J Workroom,A1,POM POMS,ACRYLIC,UNKNOWN,200 COUNT
mac3d6,Cotton Balls,three dimensional object,cotton_balls.jpeg,MAC,J Workroom,A1,POM POMS,COTTON,PACON,400 COUNT
mac3d7,Coffee Filters,three dimensional object,coffee_filters.jpeg,MAC,J Workroom,B2,na,PAPER,UNKNOWN,600 COUNT
mac3d8,Paper Cones,three dimensional object,paper_cones.jpeg,MAC,J Workroom,B2,na,PAPER,BARE SOLO,200 COUNT
mac3d9,Canvas Panel 4in Square,three dimensional object,Canvas Panel 4in Square.jpeg,MAC,J Workroom,A2,na,CANVAS OVER BOARD,MONT MARTE,11 COUNT
mac3d10,Canvas Panel 5inx7in Rectangle,three dimensional object,Canvas Panel 5x7 Rectangle.jpeg,MAC,J Workroom,A2,na,CANVAS OVER BOARD,U.S. ART SUPPLY,31 COUNT
mac3d11,Glass Pebbles 1in,three dimensional object,glass_pebbles_1in.jpeg,MAC,J Workroom,A2,na,GLASS,UNKNOWN,50 COUNT
mac3d12,Glass Pebbles 2in,three dimensional object,glass_pebbles_2in.jpeg,MAC,J Workroom,A2,na,GLASS,UNKNOWN,75 COUNT
mac3d13,Beads Natural Wooden,three dimensional object,beads_natural_wooden.jpeg,MAC,J Workroom,A2,BEADS,WOOD,UNKNOWN,50 COUNT
mac3d14,Beads Opaque Green Pony Beads,three dimensional object,beads_opaque_green_pony.jpeg,MAC,J Workroom,A2,BEADS,PLASTIC,UNKNOWN,1500 COUNT
mac3d15,Beads Opaque White Pony Beads,three dimensional object,beads_opaque_white_pony.jpeg,MAC,J Workroom,A2,BEADS,PLASTIC,WESTRIM CRAFTS,500 COUNT
mac3d16,Beads Opaque Black Pony Beads,three dimensional object,beads_opaque_black_pony.jpeg,MAC,J Workroom,A2,BEADS,PLASTIC,UNKNOWN,500 COUNT
mac3d17,Beads Opaque Yellow Pony Beads,three dimensional object,beads_opaque_yellow_pony.jpeg,MAC,J Workroom,A2,BEADS,PLASTIC,UNKNOWN,1000 COUNT
mac3d18,Beads Opaque Red Pony Beads,three dimensional object,beads_opaque_red_pony.jpeg,MAC,J Workroom,A2,BEADS,PLASTIC,UNKNOWN,1500 COUNT
mac3d19,Beads Opaque Orange Pony Beads,three dimensional object,beads_opaque_orange_pony.jpeg,MAC,J Workroom,A2,BEADS,PLASTIC,WESTRIM CRAFTS,500 COUNT
mac3d20,Beads- Fancy Assorted Pony Beads,three dimensional object,beads_fancy_assorted_pony.jpeg,MAC,J Workroom,A2,BEADS,PLASTIC,UNKNOWN,500 COUNT